2022-12-20 11:12:330 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:380 INFO  BuildYourOwnComputerPage :86 - Select OS : [[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-12-20 11:12:444 INFO  BuildYourOwnComputerPage :96 - Select Software : [[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-12-20 11:12:515 INFO  BuildYourOwnComputerPage :104 - Click Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-20 11:12:796 INFO  BuildYourOwnComputerPage :109 - Get Product Message: [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //p[@class='content']]
2022-12-20 11:12:99 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:49 INFO  ComputerPage :40 - Click on Sub menu:[[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 11:12:513 INFO  DesktopsPage :57 - Product Title: [[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-20 11:12:291 INFO  BuildYourOwnComputerPage :63 - Getting the ProductName text :[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> id: product_attribute_1]
2022-12-20 11:12:399 INFO  BuildYourOwnComputerPage :69 - Select Ram : [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> id: product_attribute_2]
2022-12-20 11:12:491 INFO  BuildYourOwnComputerPage :76 - Select HDD: [[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-12-20 11:12:575 INFO  BuildYourOwnComputerPage :86 - Select OS : [[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-12-20 11:12:673 INFO  BuildYourOwnComputerPage :96 - Select Software : [[[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-12-20 11:12:733 INFO  BuildYourOwnComputerPage :104 - Click Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-20 11:12:425 INFO  BuildYourOwnComputerPage :109 - Get Product Message: [[ChromeDriver: chrome on WINDOWS (65d40230013668e99af65e880f36dfe3)] -> xpath: //p[@class='content']]
2022-12-20 11:12:679 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:619 INFO  ComputerPage :40 - Click on Sub menu:[[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 11:12:461 INFO  DesktopsPage :57 - Product Title: [[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-20 11:12:669 INFO  BuildYourOwnComputerPage :63 - Getting the ProductName text :[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> id: product_attribute_1]
2022-12-20 11:12:769 INFO  BuildYourOwnComputerPage :69 - Select Ram : [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> id: product_attribute_2]
2022-12-20 11:12:849 INFO  BuildYourOwnComputerPage :76 - Select HDD: [[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
2022-12-20 11:12:916 INFO  BuildYourOwnComputerPage :86 - Select OS : [[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_4']//li/label], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_4']//li/label]]
2022-12-20 11:12:23 INFO  BuildYourOwnComputerPage :96 - Select Software : [[[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_5']//li/label], [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]]
2022-12-20 11:12:86 INFO  BuildYourOwnComputerPage :104 - Click Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-20 11:12:338 INFO  BuildYourOwnComputerPage :109 - Get Product Message: [[ChromeDriver: chrome on WINDOWS (753903d9f47d137c0ccb449434e0c345)] -> xpath: //p[@class='content']]
2022-12-20 11:12:233 INFO  HomePage :48 - Click on Login Link: [[ChromeDriver: chrome on WINDOWS (dafcc335827738e15a8425138c7a28d7)] -> link text: Log in]
2022-12-20 11:12:92 INFO  LoginPage :42 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (dafcc335827738e15a8425138c7a28d7)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]<br>
2022-12-20 11:12:387 INFO  HomePage :48 - Click on Login Link: [[ChromeDriver: chrome on WINDOWS (87fb5253c9366ea02832a48da43cf18b)] -> link text: Log in]
2022-12-20 11:12:333 INFO  LoginPage :48 - Enter email abc100@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (87fb5253c9366ea02832a48da43cf18b)] -> id: Email]<br>
2022-12-20 11:12:408 INFO  LoginPage :53 - Enter password abc100 to password field [[ChromeDriver: chrome on WINDOWS (87fb5253c9366ea02832a48da43cf18b)] -> name: Password]<br>
2022-12-20 11:12:173 INFO  LoginPage :58 - Clicking on Login Button <br>[[ChromeDriver: chrome on WINDOWS (87fb5253c9366ea02832a48da43cf18b)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-20 11:12:219 INFO  LoginPage :63 - Getting error message : [[ChromeDriver: chrome on WINDOWS (87fb5253c9366ea02832a48da43cf18b)] -> xpath: //div[@class='message-error validation-summary-errors']]<br>
2022-12-20 11:12:461 INFO  HomePage :48 - Click on Login Link: [[ChromeDriver: chrome on WINDOWS (eda74aca02bb674aaf9962182735ba80)] -> link text: Log in]
2022-12-20 11:12:537 INFO  LoginPage :48 - Enter email john004@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (eda74aca02bb674aaf9962182735ba80)] -> id: Email]<br>
2022-12-20 11:12:705 INFO  LoginPage :53 - Enter password John@001 to password field [[ChromeDriver: chrome on WINDOWS (eda74aca02bb674aaf9962182735ba80)] -> name: Password]<br>
2022-12-20 11:12:114 INFO  LoginPage :58 - Clicking on Login Button <br>[[ChromeDriver: chrome on WINDOWS (eda74aca02bb674aaf9962182735ba80)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-20 11:12:820 INFO  HomePage :48 - Click on Login Link: [[ChromeDriver: chrome on WINDOWS (198a6db5742f90bbbfb042a97751f689)] -> link text: Log in]
2022-12-20 11:12:701 INFO  LoginPage :48 - Enter email john004@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (198a6db5742f90bbbfb042a97751f689)] -> id: Email]<br>
2022-12-20 11:12:782 INFO  LoginPage :53 - Enter password John@001 to password field [[ChromeDriver: chrome on WINDOWS (198a6db5742f90bbbfb042a97751f689)] -> name: Password]<br>
2022-12-20 11:12:523 INFO  LoginPage :58 - Clicking on Login Button <br>[[ChromeDriver: chrome on WINDOWS (198a6db5742f90bbbfb042a97751f689)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-20 11:12:594 INFO  HomePage :69 - Click on My Account Link: Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Log out']'
2022-12-20 11:12:697 INFO  HomePage :54 - Login Link Displayed: [[ChromeDriver: chrome on WINDOWS (198a6db5742f90bbbfb042a97751f689)] -> link text: Log in]
2022-12-20 11:12:611 INFO  HomePage :59 - Click on Register: [[ChromeDriver: chrome on WINDOWS (445e6eda18546c16fea1bac59980da90)] -> link text: Register]
2022-12-20 11:12:529 INFO  RegisterPage :81 - Get registerText : Register<br>
2022-12-20 11:12:364 INFO  HomePage :59 - Click on Register: [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> link text: Register]
2022-12-20 11:12:214 INFO  RegisterPage :128 - Click on 'REGISTER' button<br>[[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> css selector: #register-button]
2022-12-20 11:12:327 INFO  RegisterPage :137 - Click on 'REGISTER' button<br>
2022-12-20 11:12:327 INFO  RegisterPage :138 - Verify Error Message<br>[[[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error]]
2022-12-20 11:12:402 INFO  RegisterPage :137 - Click on 'REGISTER' button<br>
2022-12-20 11:12:403 INFO  RegisterPage :138 - Verify Error Message<br>[[[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error]]
2022-12-20 11:12:474 INFO  RegisterPage :137 - Click on 'REGISTER' button<br>
2022-12-20 11:12:474 INFO  RegisterPage :138 - Verify Error Message<br>[[[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error]]
2022-12-20 11:12:550 INFO  RegisterPage :137 - Click on 'REGISTER' button<br>
2022-12-20 11:12:550 INFO  RegisterPage :138 - Verify Error Message<br>[[[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error]]
2022-12-20 11:12:633 INFO  RegisterPage :137 - Click on 'REGISTER' button<br>
2022-12-20 11:12:633 INFO  RegisterPage :138 - Verify Error Message<br>[[[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error], [[ChromeDriver: chrome on WINDOWS (974d10751683201c3d7ca60f15fb4fd7)] -> class name: field-validation-error]]
2022-12-20 11:12:447 INFO  HomePage :59 - Click on Register: [[ChromeDriver: chrome on WINDOWS (97a91cd0594fa24e26a7bcade38c3f87)] -> link text: Register]
2022-12-20 11:12:863 INFO  RegisterPage :88 - Select 'Male' radio button<br>
2022-12-20 11:12:977 INFO  RegisterPage :97 - Enter Firstname : 'John' to firstName field<br>
2022-12-20 11:12:60 INFO  RegisterPage :102 - Enter Lastname : 'Cina' to lastName field<br>
2022-12-20 11:12:335 INFO  RegisterPage :109 - Select day : '10', month : 'March', year : '1997'<br>
2022-12-20 11:12:413 INFO  RegisterPage :114 - Enter Email : 's4p8@gmail.com' to email field<br>
2022-12-20 11:12:504 INFO  RegisterPage :119 - Enter Password : 'John@001' to password field<br>
2022-12-20 11:12:581 INFO  RegisterPage :124 - Enter Confirm password : 'John@001' to confirm password field<br>
2022-12-20 11:12:602 INFO  RegisterPage :128 - Click on 'REGISTER' button<br>[[ChromeDriver: chrome on WINDOWS (97a91cd0594fa24e26a7bcade38c3f87)] -> css selector: #register-button]
2022-12-20 11:12:321 INFO  RegisterPage :148 - Get your reg completed text : [[ChromeDriver: chrome on WINDOWS (97a91cd0594fa24e26a7bcade38c3f87)] -> css selector: .result]<br>
2022-12-20 11:12:369 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:452 INFO  ComputerPage :33 - Get the Page Title: [[ChromeDriver: chrome on WINDOWS (bfab92b2ec87bc9fca9c55cb18b8130e)] -> css selector: div[class='page-title'] h1]
2022-12-20 11:12:632 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (35327e48d9f8dcf5decd7700bba222be)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
